date,current_balance 
1532707200,0.8484218470941002 
1532714400,0.8484218470941002 
1532721600,0.8484218470941002 
1532728800,0.8484218470941002 
1532736000,0.8484218470941002 
1532743200,0.8484218470941002 
1532750400,0.8484218470941002 
1532757600,0.8484218470941002 
1532764800,0.8484218470941002 
1532772000,0.8484218470941002 
1532779200,0.8484218470941002 
1532786400,0.8484218470941002 
1532793600,0.8484218470941002 
1532800800,0.8484218470941002 
1532808000,0.8484218470941002 
1532815200,0.8484218470941002 
1532822400,0.8484218470941002 
1532829600,0.8484218470941002 
1532836800,0.8484218470941002 
1532844000,0.8484218470941002 
1532851200,0.8484218470941002 
1532858400,0.8484218470941002 
1532865600,0.8484218470941002 
1532872800,0.8484218470941002 
1532880000,0.8484218470941002 
1532887200,0.8484218470941002 
1532894400,0.8484218470941002 
1532901600,0.8484218470941002 
1532908800,0.8484218470941002 
1532916000,0.8484218470941002 
1532923200,0.8484218470941002 
1532930400,0.8484218470941002 
1532937600,0.8484218470941002 
1532944800,0.8484218470941002 
1532952000,0.8484218470941002 
1532959200,0.8484218470941002 
1532966400,0.8484218470941002 
1532973600,0.8484218470941002 
1532980800,0.8484218470941002 
1532988000,0.8484218470941002 
1532995200,0.8484218470941002 
1533002400,0.8484218470941002 
1533009600,0.8484218470941002 
1533016800,0.8484218470941002 
1533024000,0.8484218470941002 
1533031200,0.8484218470941002 
1533038400,0.8484218470941002 
1533045600,0.8484218470941002 
1533052800,0.8484218470941002 
1533060000,0.8484218470941002 
1533067200,0.8484218470941002 
1533074400,0.8484218470941002 
1533081600,0.8484218470941002 
1533088800,0.8484218470941002 
1533096000,0.8484218470941002 
1533103200,0.8484218470941002 
1533110400,0.8484218470941002 
1533117600,0.8484218470941002 
1533124800,0.8484218470941002 
1533132000,0.8484218470941002 
1533139200,0.8484218470941002 
1533146400,0.8484218470941002 
1533153600,0.8484218470941002 
1533160800,0.8484218470941002 
1533168000,0.8484218470941002 
1533175200,0.8484218470941002 
1533182400,0.8484218470941002 
1533189600,0.8484218470941002 
1533196800,0.8484218470941002 
1533204000,0.8484218470941002 
1533211200,0.8484218470941002 
1533218400,0.8484218470941002 
1533225600,0.8484218470941002 
1533232800,0.8484218470941002 
1533240000,0.8484218470941002 
1533247200,0.8484218470941002 
1533254400,0.8484218470941002 
1533261600,0.8484218470941002 
1533268800,0.8484218470941002 
1533276000,0.8484218470941002 
1533283200,0.8484218470941002 
1533290400,0.8484218470941002 
1533297600,0.8484218470941002 
1533304800,0.8484218470941002 
1533312000,0.8484218470941002 
1533319200,0.8484218470941002 
1533326400,0.8484218470941002 
1533333600,0.8484218470941002 
1533340800,0.8484218470941002 
1533348000,0.8484218470941002 
1533355200,0.8484218470941002 
1533362400,0.8484218470941002 
1533369600,0.8484218470941002 
1533376800,0.8484218470941002 
1533384000,0.8484218470941002 
1533391200,0.8484218470941002 
1533398400,0.8484218470941002 
1533405600,0.8484218470941002 
1533412800,0.8484218470941002 
1533420000,0.8484218470941002 
1533427200,0.8484218470941002 
1533434400,0.8484218470941002 
1533441600,0.8484218470941002 
1533448800,0.8484218470941002 
1533456000,0.8484218470941002 
1533463200,0.8484218470941002 
1533470400,0.8484218470941002 
1533477600,0.8484218470941002 
1533484800,0.8484218470941002 
1533492000,0.8484218470941002 
1533499200,0.8484218470941002 
1533506400,0.8484218470941002 
1533513600,0.8484218470941002 
1533520800,0.8484218470941002 
1533528000,0.8484218470941002 
1533535200,0.8484218470941002 
1533542400,0.8484218470941002 
1533549600,0.8484218470941002 
1533556800,0.8484218470941002 
1533564000,0.8484218470941002 
1533571200,0.8484218470941002 
1533578400,0.8484218470941002 
1533585600,0.8484218470941002 
1533592800,0.8484218470941002 
1533600000,0.8484218470941002 
1533607200,0.8484218470941002 
1533614400,0.8484218470941002 
1533621600,0.8484218470941002 
1533628800,0.8484218470941002 
1533636000,0.8484218470941002 
1533643200,0.8484218470941002 
1533650400,0.8484218470941002 
1533657600,0.8484218470941002 
1533664800,0.8484218470941002 
1533672000,0.8484218470941002 
1533679200,0.8484218470941002 
1533686400,0.8484218470941002 
1533693600,0.8484218470941002 
1533700800,0.8484218470941002 
1533708000,0.8484218470941002 
1533715200,0.8484218470941002 
1533722400,0.8484218470941002 
1533729600,0.8484218470941002 
1533736800,0.8484218470941002 
1533744000,0.8484218470941002 
1533751200,0.8484218470941002 
1533758400,0.8484218470941002 
1533765600,0.8484218470941002 
1533772800,0.8484218470941002 
1533780000,0.8484218470941002 
1533787200,0.8484218470941002 
1533794400,0.8484218470941002 
1533801600,0.8484218470941002 
1533808800,0.8484218470941002 
1533816000,0.8484218470941002 
1533823200,0.8484218470941002 
1533830400,0.8484218470941002 
1533837600,0.8484218470941002 
1533844800,0.8484218470941002 
1533852000,0.8484218470941002 
1533859200,0.8484218470941002 
1533866400,0.8484218470941002 
1533873600,0.8484218470941002 
1533880800,0.8484218470941002 
1533888000,0.8484218470941002 
1533895200,0.8484218470941002 
1533902400,0.8484218470941002 
1533909600,0.8484218470941002 
1533916800,0.8484218470941002 
1533924000,0.8484218470941002 
