date,current_balance 
226.5,7328.298836214364 
226.72,7443.8433021746605 
230.35,7564.578067110344 
232.54,7521.972947306713 
228.19,7469.07198080836 
227.41,7396.9474133416015 
226.63,7351.9768566682615 
224.36,7196.293376989161 
220.53,6832.788026555188 
204.4,6757.6372419688305 
198.9,6683.588995790711 
197.95,6778.066710561066 
204.28,6728.457363125759 
196.14,6936.227744482239 
213.45,7239.304320764687 
212.26,7198.465363851877 
211.49,7099.083454165788 
212.34,7305.236743441569 
216.08,7350.237959397048 
216.21,7344.625076255303 
224.83,7663.17625905255 
224.15,7652.103019760584 
226.49,7611.295356053079 
223.0,7588.603912667247 
224.61,7490.326095221545 
216.7,7461.561604353148 
218.98,7527.980915931412 
218.79,7659.848343923336 
221.77,7706.487875938046 
227.1,7762.2789022299985 
226.47,7719.089921918219 
225.49,7786.868733130028 
230.96,8040.574307304024 
232.24,8007.605485975476 
228.99,7885.12767831623 
224.52,7892.942652829002 
226.2,7983.613628881196 
226.05,7922.957940956699 
222.62,7662.282250389997 
219.6,7851.960946051564 
225.59,7912.274906570237 
226.2,7949.432103764212 
224.86,7914.966833540883 
223.12,7742.071334303366 
214.6,7699.694980509787 
212.4,7732.639827741539 
217.14,7702.043786952278 
216.45,7534.777725991293 
211.99,7417.8096401540115 
211.96,7391.035828278877 
209.59,7493.9090063908425 
216.67,7553.716852239752 
211.92,7295.394855927387 
203.99,7268.609710706811 
205.66,7313.675049713931 
207.11,7536.490939692542 
215.98,7423.044336256785 
211.51,7412.816611614136 
216.63,7617.352066638525 
222.73,7608.368433309646 
220.9,7584.651150613188 
222.8,7584.70309562969 
221.14,7597.351241881181 
218.24,7525.609200760972 
219.07,7428.159277373353 
215.03,7441.244433885215 
216.42,7531.88258083405 
217.5,7526.12022558259 
216.53,7585.769898283503 
220.02,7637.0267681723935 
219.22,7738.914355005818 
222.37,7671.342375453691 
221.09,7469.477513603362 
206.99,7279.654706254601 
206.43,7279.471540135728 
206.99,7326.100993879618 
206.95,7313.174330380803 
207.2,7366.882094188581 
208.74,7333.212265491041 
209.56,7315.570775222158 
208.17,7343.175725499125 
208.2,7255.898192753293 
211.33,7449.539820792524 
212.58,7436.069451442807 
212.0,7342.355255323462 
208.15,7341.799539063886 
209.08,7362.8125322520955 
209.43,7372.787919403805 
210.69,7326.779299066097 
206.51,7308.507160612907 
208.08,7361.200194125443 
209.48,7469.462517603197 
212.76,7751.824796225195 
211.29,7763.866996510805 
209.8,7877.9629501050385 
212.11,7940.981203867363 
212.17,7908.8253909837495 
213.0,8002.221349013198 
217.3,7935.173858572102 
215.55,8064.934891651434 
218.55,8036.286489043012 
213.8,7988.243825682317 
213.78,7940.654328598002 
213.81,8010.676506806299 
213.9,8209.539832293263 
216.15,8342.3034622968 
217.38,8235.117860351776 
215.99,8330.956296894601 
221.54,8372.885383019482 
219.26,8388.017767295865 
220.03,8283.32778568966 
217.04,8214.947004306825 
217.75,8337.84665138728 
221.64,8392.286887597738 
223.42,8356.868516935658 
222.92,8309.0706621244 
220.37,8238.563600156123 
222.03,8269.159799790043 
221.89,8287.279103521292 
219.53,8162.6101364903925 
218.49,8238.046766723219 
219.03,8346.589149637506 
221.27,8388.037805062628 
221.21,8309.451658684713 
222.88,8408.739461632904 
229.78,8415.764126014377 
228.2,8498.313128597283 
233.72,8360.985651518082 
232.33,8507.533661527643 
232.29,8507.938655785629 
232.93,8373.048955795988 
228.23,8371.742661300703 
233.56,8299.307843224817 
229.3,8210.49922487174 
228.31,8467.698129034625 
227.62,8237.580825172814 
226.0,8272.640412201577 
226.42,8292.255348473504 
224.8,8239.831171185937 
228.1,8141.177499397319 
224.13,8021.329051842334 
223.9,8043.198884695616 
225.97,8039.604165366814 
225.33,8113.32273815905 
225.38,8089.717520553334 
224.01,7964.34838582744 
221.24,8160.818198931426 
217.06,8260.123406802875 
220.88,8268.338944091563 
217.41,8171.159696542781 
216.07,7910.102367811552 
210.16,7843.4046398173 
208.85,7786.358364427534 
209.41,7862.364484489186 
210.24,7877.203152253997 
211.59,7860.702145047781 
211.57,7752.174367676347 
203.42,7665.480156639719 
204.93,7747.640209827144 
206.18,7772.485245079597 
206.02,7845.64640367948 
210.7,7859.037927017249 
210.63,7861.547032984263 
211.29,7933.4098782495585 
209.68,8041.664443528266 
215.05,8032.360496834583 
216.28,7965.28912936386 
213.88,7909.267128927842 
212.77,7868.91877029327 
210.65,7867.342132924838 
211.63,7862.095142297222 
212.47,7848.774931925211 
211.19,7817.179840767417 
209.71,7795.737410139042 
209.46,7786.757950798283 
210.71,7680.695551786773 
204.66,7651.68573056419 
207.42,7617.7047415613 
208.4,7580.931862902252 
207.77,7639.3629278881635 
207.46,7517.8610738114085 
206.61,7458.371188054436 
205.35,7170.953094829863 
186.14,7054.781498271779 
186.32,6975.977425610576 
183.98,6729.226392803761 
