,index,date,open,high,low,close,volume,std_close,std_high,std_low,std_open,avg_vol_3
77,77,1579658400000,0.0459,0.0459,0.0455,0.0455,41353.0,0.9912854030501088,1.0,0.9912854030501088,1.0,1
78,78,1579662000000,0.0457,0.0458,0.0455,0.0455,19364.4,0.9934497816593886,1.0,0.9934497816593886,0.9978165938864628,1
79,79,1579665600000,0.0455,0.0455,0.0454,0.0455,13059.0,1.0,1.0,0.9978021978021979,1.0,1
80,80,1579669200000,0.0458,0.0459,0.0457,0.0457,39227.0,0.9956427015250543,1.0,0.9956427015250543,0.9978213507625272,0
81,81,1579672800000,0.0457,0.0457,0.0457,0.0457,0.0,1.0,1.0,1.0,1.0,1
82,82,1579676400000,0.0461,0.0464,0.0447,0.0461,168754.3,0.9935344827586208,1.0,0.9633620689655172,0.9935344827586208,0
83,83,1579680000000,0.0462,0.0462,0.0459,0.0459,22748.0,0.9935064935064937,1.0,0.9935064935064937,1.0,1
84,84,1579683600000,0.0457,0.0459,0.0457,0.0459,2505.7,1.0,1.0,0.9956427015250543,0.9956427015250543,1
85,85,1579687200000,0.0462,0.0462,0.0462,0.0462,8348.7,1.0,1.0,1.0,1.0,1
86,86,1579690800000,0.0459,0.046,0.0459,0.046,24839.2,1.0,1.0,0.9978260869565219,0.9978260869565219,0
87,87,1579694400000,0.0457,0.0459,0.0457,0.0459,20313.6,1.0,1.0,0.9956427015250543,0.9956427015250543,0
88,88,1579698000000,0.0458,0.0458,0.0458,0.0458,14418.0,1.0,1.0,1.0,1.0,1
89,89,1579701600000,0.0455,0.0456,0.0455,0.0455,11808.2,0.9978070175438596,1.0,0.9978070175438596,0.9978070175438596,1
90,90,1579705200000,0.0455,0.0457,0.0455,0.0455,186387.5,0.9956236323851204,1.0,0.9956236323851204,0.9956236323851204,0
91,91,1579708800000,0.0455,0.0457,0.0452,0.0457,33746.3,1.0,1.0,0.9890590809628008,0.9956236323851204,1
92,92,1579712400000,0.0457,0.0458,0.0457,0.0458,32786.9,1.0,1.0,0.9978165938864628,0.9978165938864628,1
93,93,1579716000000,0.0457,0.0457,0.0457,0.0457,220.0,1.0,1.0,1.0,1.0,1
94,94,1579719600000,0.0457,0.0458,0.0455,0.0458,35999.0,1.0,1.0,0.9934497816593886,0.9978165938864628,0
95,95,1579723200000,0.0456,0.0457,0.0454,0.0455,21377.2,0.9956236323851204,1.0,0.9934354485776806,0.9978118161925603,0
96,96,1579726800000,0.0456,0.0457,0.0455,0.0457,8051.8,1.0,1.0,0.9956236323851204,0.9978118161925603,1
97,97,1579730400000,0.0457,0.0457,0.0455,0.0455,9201.8,0.9956236323851204,1.0,0.9956236323851204,1.0,1
98,98,1579734000000,0.0456,0.0458,0.0454,0.0458,179990.5,1.0,1.0,0.9912663755458516,0.9956331877729258,0
99,99,1579737600000,0.0457,0.0457,0.0453,0.0454,161735.4,0.9934354485776806,1.0,0.9912472647702407,1.0,0
100,100,1579741200000,0.0453,0.0454,0.0446,0.0447,114202.0,0.9845814977973567,1.0,0.9823788546255506,0.9977973568281938,1
101,101,1579744800000,0.0447,0.0449,0.0444,0.0448,64165.2,0.997772828507795,1.0,0.9888641425389755,0.9955456570155901,1
