time,open,high,low,close,vwap,vol
1571299200,1.00689,1.01066,1.00513,1.00852,1.00827,48974.10576117,266
1571313600,1.00817,1.00974,1.00400,1.00777,1.00915,10039.77722397,80
1571328000,1.00777,1.00777,1.00567,1.00776,1.00675,2352.66334679,17
1571342400,1.00776,1.00776,1.00533,1.00533,1.00606,581.29334629,8
1571356800,1.00533,1.00679,1.00533,1.00583,1.00670,215.66088653,5
1571371200,1.00583,1.00785,1.00492,1.00785,1.00755,10175.51263782,25
1571385600,1.00713,1.01042,1.00201,1.00844,1.00764,25035.77250846,221
1571400000,1.00826,1.01028,1.00615,1.00895,1.00822,2109.81045019,20
1571414400,1.00987,1.00987,1.00756,1.00882,1.00792,919.28642565,7
1571428800,1.00882,1.01023,1.00697,1.00912,1.00803,2799.13807931,26
1571443200,1.00943,1.01061,1.00943,1.01061,1.01026,2042.00786527,17
1571457600,1.01000,1.01083,1.01000,1.01073,1.01067,943.86891218,6
1571472000,1.01073,1.01081,1.01000,1.01081,1.01058,1098.16770532,11
1571486400,1.01081,1.01104,1.00848,1.00870,1.01029,2191.26441619,19
1571500800,1.00870,1.01079,1.00688,1.00872,1.00833,2191.60033993,15
1571515200,1.00872,1.01158,1.00605,1.00854,1.00867,5278.58641822,40
1571529600,1.01061,1.01061,1.00692,1.00745,1.00766,700.00885079,7
1571544000,1.00792,1.00793,1.00658,1.00677,1.00708,2016.44427555,13
1571558400,1.00677,1.00883,1.00677,1.00883,1.00804,455.59725766,6
1571572800,1.00818,1.00887,1.00648,1.00802,1.00772,2084.00153804,22
1571587200,1.00802,1.00898,1.00530,1.00686,1.00724,2661.42848980,38
1571601600,1.00877,1.00897,1.00863,1.00877,1.00874,2854.08672346,29
1571616000,1.00877,1.00877,1.00877,1.00877,0.00000,0.00000000,0
1571630400,1.00877,1.00877,1.00657,1.00657,1.00657,18.96424000,4
1571644800,1.00657,1.00912,1.00488,1.00723,1.00797,2669.40459806,25
1571659200,1.00723,1.00806,1.00631,1.00694,1.00693,3501.00757200,47
1571673600,1.00660,1.00917,1.00551,1.00898,1.00863,14360.97309428,66
1571688000,1.00878,1.00917,1.00692,1.00896,1.00865,4529.30969915,22
1571702400,1.00896,1.00935,1.00896,1.00898,1.00909,2793.73360297,14
1571716800,1.00898,1.00898,1.00694,1.00836,1.00795,2044.45970960,19
1571731200,1.00836,1.00882,1.00702,1.00707,1.00768,1259.85547495,23
