time,open,high,low,close,vwap,vol
1564732800,11.203,11.325,11.203,11.325,11.268,14.99999991,4
1564747200,11.355,11.484,11.310,11.443,11.359,70.05704868,19
1564761600,11.443,11.443,10.949,11.035,11.044,1439.22611003,81
1564776000,11.042,11.119,11.042,11.119,11.078,30.52441415,4
1564790400,11.119,11.214,11.119,11.183,11.198,139.84796817,17
1564804800,11.167,11.169,11.107,11.151,11.123,19.88111635,8
1564819200,11.107,11.107,11.031,11.069,11.097,23.82353440,10
1564833600,11.035,11.105,11.010,11.076,11.057,67.92069673,9
1564848000,11.052,11.315,11.052,11.288,11.232,99.56701009,14
1564862400,11.271,11.274,11.161,11.161,11.210,27.72758619,6
1564876800,11.105,11.105,11.004,11.004,11.081,16.28911232,7
1564891200,10.943,10.943,10.850,10.866,10.896,153.03417563,23
1564905600,10.918,10.969,10.917,10.931,10.936,159.68343076,19
1564920000,10.931,10.964,10.878,10.890,10.912,81.25595294,14
1564934400,10.890,10.890,10.776,10.776,10.798,219.75705786,21
1564948800,10.776,10.934,10.700,10.934,10.860,42.79080494,4
1564963200,10.934,11.114,10.934,11.041,11.054,200.87252955,37
1564977600,11.100,12.746,11.082,12.496,11.958,1214.98622309,149
1564992000,12.425,13.688,11.957,11.988,12.630,1615.05041719,132
1565006400,11.941,12.616,11.710,12.539,12.077,1162.98849779,82
1565020800,12.438,12.647,12.187,12.329,12.404,597.47513898,46
1565035200,12.329,12.329,11.757,11.757,11.982,278.09934181,20
1565049600,11.757,11.757,11.156,11.258,11.458,571.06256192,64
1565064000,11.220,11.524,11.085,11.416,11.283,618.40218631,52
1565078400,11.434,11.764,11.086,11.239,11.447,624.50983269,68
1565092800,11.239,11.570,11.239,11.376,11.348,319.00062465,24
1565107200,11.398,11.398,11.000,11.017,11.103,3151.42164011,179
1565121600,11.044,11.255,10.813,10.898,10.898,602.59915499,45
1565136000,10.878,10.878,10.789,10.790,10.814,113.31638830,10
1565150400,10.790,11.109,10.790,11.109,10.986,30.25909005,4
1565164800,11.109,11.695,11.109,11.614,11.557,291.17640965,29
1565179200,11.510,11.510,10.980,11.100,11.191,339.84796293,38
1565193600,11.053,11.125,10.848,11.057,10.989,434.03853426,34
1565208000,11.115,11.164,11.109,11.140,11.127,103.75853152,13
1565222400,11.140,11.140,11.049,11.049,11.060,74.76191862,4
1565236800,11.049,11.049,10.872,10.945,10.959,198.57370055,24
1565251200,11.019,11.019,10.931,10.934,10.953,94.83907965,8
1565265600,10.918,10.932,10.892,10.892,10.917,97.03163603,11
1565280000,10.899,10.975,10.880,10.971,10.931,264.19758034,29
1565294400,10.942,11.169,10.942,11.168,11.146,196.94790283,25
1565308800,11.160,11.207,10.968,10.991,11.122,1094.11660057,90
1565323200,10.952,10.966,10.797,10.803,10.889,1180.71355802,87
1565337600,10.807,10.905,10.230,10.266,10.537,2097.45905597,152
1565352000,10.266,10.497,10.260,10.497,10.384,596.67686331,20
1565366400,10.461,11.000,10.442,10.922,10.820,925.11712583,62
1565380800,10.852,10.863,10.851,10.863,10.857,36.57118000,3
1565395200,10.863,10.863,10.791,10.813,10.804,10.25967406,4
1565409600,10.813,10.878,10.813,10.878,10.878,28.90136598,3
1565424000,10.878,10.878,10.690,10.705,10.749,335.41243235,36
1565438400,10.705,10.825,10.670,10.670,10.727,170.67192725,17
1565452800,10.670,10.741,10.645,10.664,10.660,132.17056408,11
1565467200,10.784,10.800,10.769,10.794,10.787,151.51782031,15
1565481600,10.782,11.000,10.782,10.979,10.927,110.25443285,15
1565496000,10.979,10.979,10.979,10.979,10.979,1.01377695,1
1565510400,10.979,11.056,10.947,11.056,11.006,62.98102691,11
1565524800,11.056,11.058,11.023,11.058,11.047,3.27156736,4
1565539200,11.058,11.058,11.054,11.054,11.054,10.00000000,1
1565553600,11.016,11.057,10.956,11.037,11.025,315.95291347,31
1565568000,11.019,11.043,10.992,11.034,11.015,68.70020798,10
1565582400,11.034,11.034,10.985,10.985,10.992,1.37361969,2
1565596800,10.985,10.985,10.937,10.937,10.955,145.19134521,15
1565611200,10.927,10.967,10.901,10.952,10.945,120.83510000,9
1565625600,10.982,10.994,10.982,10.994,10.983,39.41846736,6
1565640000,10.994,10.994,10.925,10.925,10.942,23.94463700,8
1565654400,10.925,10.925,10.855,10.896,10.879,130.27839811,21
1565668800,10.856,10.856,10.800,10.800,10.800,482.26427013,23
1565683200,10.800,10.824,10.765,10.765,10.806,198.37426901,22
1565697600,10.765,10.851,10.463,10.478,10.605,359.93445048,37
1565712000,10.478,10.507,10.383,10.502,10.454,177.90197819,19
1565726400,10.534,10.709,10.512,10.590,10.594,660.59301935,77
1565740800,10.590,10.590,10.453,10.511,10.501,203.60403549,19
