,XLTCZUSD,last
54,"[1561968000, '123.27', '125.00', '120.85', '122.20', '122.97', '5210.69181587', 487]",1571529600
55,"[1561982400, '122.36', '122.37', '114.39', '117.96', '118.67', '21337.60887503', 1540]",1571529600
56,"[1561996800, '118.35', '119.28', '113.31', '115.34', '116.18', '16753.27956244', 1143]",1571529600
57,"[1562011200, '115.46', '124.00', '115.46', '122.63', '120.31', '13223.80565763', 1064]",1571529600
58,"[1562025600, '122.71', '123.37', '117.56', '118.84', '120.08', '7542.35853535', 700]",1571529600
59,"[1562040000, '118.91', '119.25', '111.89', '114.76', '114.56', '20918.10954776', 1201]",1571529600
60,"[1562054400, '114.58', '118.11', '112.13', '114.96', '115.54', '13636.41535817', 910]",1571529600
61,"[1562068800, '114.83', '119.15', '114.45', '119.15', '116.65', '14818.10785735', 1014]",1571529600
62,"[1562083200, '118.93', '120.13', '117.21', '117.43', '118.35', '4645.86902531', 506]",1571529600
63,"[1562097600, '117.38', '118.79', '116.00', '118.55', '117.37', '4738.66860411', 386]",1571529600
64,"[1562112000, '118.56', '123.00', '118.56', '121.13', '121.05', '7620.38430216', 600]",1571529600
65,"[1562126400, '121.38', '122.49', '120.48', '120.94', '121.59', '4573.93679445', 352]",1571529600
66,"[1562140800, '120.80', '121.12', '118.73', '119.06', '119.90', '5096.38615319', 467]",1571529600
67,"[1562155200, '119.12', '121.01', '118.83', '120.36', '119.73', '4936.56425388', 410]",1571529600
68,"[1562169600, '120.45', '120.77', '117.10', '118.55', '118.14', '6291.29779410', 576]",1571529600
69,"[1562184000, '118.59', '121.98', '117.74', '121.84', '120.14', '5577.39063597', 509]",1571529600
70,"[1562198400, '121.68', '122.30', '119.29', '120.05', '120.83', '2692.49609213', 263]",1571529600
71,"[1562212800, '120.07', '127.32', '119.09', '124.24', '123.87', '10018.20319319', 722]",1571529600
72,"[1562227200, '124.22', '124.74', '121.48', '123.95', '123.33', '6156.66836364', 409]",1571529600
73,"[1562241600, '124.05', '124.05', '122.12', '122.90', '123.12', '3335.69433666', 301]",1571529600
74,"[1562256000, '122.65', '126.19', '122.52', '125.03', '124.24', '6381.54954265', 519]",1571529600
75,"[1562270400, '125.03', '125.03', '118.43', '119.85', '121.61', '11814.82092684', 926]",1571529600
76,"[1562284800, '119.48', '119.80', '118.23', '119.32', '119.09', '4581.75532261', 330]",1571529600
77,"[1562299200, '119.20', '120.59', '116.99', '118.50', '118.59', '5763.54706751', 384]",1571529600
78,"[1562313600, '118.48', '120.71', '117.83', '120.23', '119.61', '4541.55704991', 288]",1571529600
79,"[1562328000, '120.08', '120.33', '118.44', '118.44', '119.38', '3217.63553462', 197]",1571529600
80,"[1562342400, '119.14', '119.30', '116.64', '118.58', '117.90', '5488.60686773', 392]",1571529600
81,"[1562356800, '118.35', '120.00', '117.16', '118.46', '118.29', '3660.85098623', 314]",1571529600
82,"[1562371200, '118.58', '120.69', '118.58', '120.37', '119.91', '5414.65650884', 311]",1571529600
83,"[1562385600, '120.31', '120.59', '118.50', '118.91', '119.72', '2816.97308448', 180]",1571529600
84,"[1562400000, '118.99', '119.43', '118.23', '119.02', '118.75', '1840.79838709', 144]",1571529600
85,"[1562414400, '119.02', '121.56', '118.55', '120.86', '119.88', '2212.24466780', 195]",1571529600
86,"[1562428800, '120.94', '122.13', '119.33', '119.69', '120.28', '2427.05112685', 177]",1571529600
87,"[1562443200, '119.69', '119.86', '117.26', '118.37', '118.36', '3098.50390377', 304]",1571529600
88,"[1562457600, '118.14', '118.94', '117.66', '117.88', '118.28', '1529.26174321', 131]",1571529600
89,"[1562472000, '118.08', '118.90', '118.08', '118.47', '118.45', '2112.26177208', 156]",1571529600
90,"[1562486400, '118.38', '119.73', '117.95', '119.28', '118.95', '943.18793400', 87]",1571529600
91,"[1562500800, '119.29', '119.60', '117.74', '118.00', '118.93', '1715.71288103', 169]",1571529600
92,"[1562515200, '117.99', '121.00', '117.26', '119.57', '119.40', '2146.84992725', 270]",1571529600
93,"[1562529600, '119.47', '120.57', '119.00', '120.29', '119.72', '2739.96363361', 245]",1571529600
94,"[1562544000, '120.15', '120.67', '118.33', '118.61', '119.12', '1853.44009325', 166]",1571529600
95,"[1562558400, '118.54', '123.00', '118.54', '119.48', '119.60', '4898.81480300', 187]",1571529600
96,"[1562572800, '119.34', '121.38', '118.86', '120.91', '120.45', '6547.57203948', 426]",1571529600
97,"[1562587200, '121.07', '121.08', '119.64', '120.50', '120.41', '2554.42731154', 179]",1571529600
98,"[1562601600, '120.50', '121.51', '120.00', '120.80', '120.79', '4203.98431587', 292]",1571529600
99,"[1562616000, '120.86', '125.60', '120.62', '123.49', '122.50', '8396.92747456', 538]",1571529600
100,"[1562630400, '123.34', '124.16', '122.40', '123.06', '123.27', '4161.26820325', 330]",1571529600
101,"[1562644800, '123.06', '123.43', '120.00', '120.24', '122.26', '6594.94868439', 534]",1571529600
102,"[1562659200, '120.23', '121.42', '119.69', '119.86', '120.32', '5552.80816924', 451]",1571529600
103,"[1562673600, '119.85', '120.72', '118.92', '119.62', '119.69', '5026.59446925', 382]",1571529600
104,"[1562688000, '119.62', '120.09', '118.02', '118.49', '119.08', '3189.95454985', 270]",1571529600
105,"[1562702400, '118.42', '119.96', '117.94', '119.38', '118.53', '2473.32166039', 244]",1571529600
106,"[1562716800, '119.41', '120.52', '118.73', '119.33', '119.81', '6693.39639393', 355]",1571529600
107,"[1562731200, '119.33', '119.34', '117.88', '118.00', '118.69', '3032.34468334', 232]",1571529600
108,"[1562745600, '117.98', '120.38', '117.94', '118.03', '119.20', '6045.03499542', 252]",1571529600
109,"[1562760000, '118.24', '118.76', '71.00', '106.23', '107.49', '41010.63032321', 3071]",1571529600
110,"[1562774400, '106.00', '109.00', '104.94', '108.10', '107.56', '24028.07759928', 1837]",1571529600
111,"[1562788800, '107.74', '108.39', '104.86', '108.26', '106.51', '11069.53406522', 1004]",1571529600
112,"[1562803200, '108.23', '108.23', '102.41', '103.70', '104.91', '11332.59978548', 776]",1571529600
