,DASHUSD,last
126,"[1563004800, '142.600', '142.691', '137.747', '137.853', '140.212', '59.34586110', 65]",1571529600
127,"[1563019200, '138.988', '141.422', '138.985', '139.488', '140.316', '47.93416504', 36]",1571529600
128,"[1563033600, '139.488', '144.168', '136.311', '140.961', '140.466', '482.02018719', 195]",1571529600
129,"[1563048000, '140.745', '143.308', '136.608', '140.136', '138.125', '779.95856465', 321]",1571529600
130,"[1563062400, '140.380', '140.380', '138.951', '140.227', '140.262', '1.50727191', 8]",1571529600
131,"[1563076800, '140.227', '140.981', '139.170', '139.170', '139.476', '3.24861689', 5]",1571529600
132,"[1563091200, '139.170', '139.170', '128.440', '128.533', '132.602', '452.50235525', 203]",1571529600
133,"[1563105600, '128.412', '129.854', '124.781', '125.000', '126.840', '227.73140902', 110]",1571529600
134,"[1563120000, '125.000', '126.924', '124.225', '124.813', '125.049', '222.91851538', 58]",1571529600
135,"[1563134400, '124.813', '127.810', '124.813', '127.810', '127.809', '2.00000000', 2]",1571529600
136,"[1563148800, '127.810', '127.810', '116.659', '120.890', '120.100', '312.49510358', 168]",1571529600
137,"[1563163200, '120.890', '121.189', '118.906', '120.170', '120.423', '726.98317173', 123]",1571529600
138,"[1563177600, '120.587', '120.710', '119.175', '120.710', '119.612', '29.46418317', 39]",1571529600
139,"[1563192000, '120.233', '122.200', '117.373', '122.200', '119.723', '187.82305528', 99]",1571529600
140,"[1563206400, '122.498', '124.737', '120.285', '122.014', '122.406', '866.07711633', 198]",1571529600
141,"[1563220800, '122.014', '122.632', '120.185', '121.646', '121.572', '128.05831002', 66]",1571529600
142,"[1563235200, '121.646', '122.830', '120.006', '120.006', '121.825', '117.54491216', 27]",1571529600
143,"[1563249600, '120.007', '121.117', '118.400', '120.449', '120.006', '68.22369916', 39]",1571529600
144,"[1563264000, '120.449', '120.583', '115.606', '115.606', '118.603', '186.63883153', 97]",1571529600
145,"[1563278400, '116.422', '116.820', '112.973', '113.583', '113.829', '185.02511686', 99]",1571529600
146,"[1563292800, '113.103', '113.103', '91.694', '102.896', '104.466', '3202.07663032', 760]",1571529600
147,"[1563307200, '102.883', '104.901', '99.271', '100.094', '102.991', '398.28153824', 145]",1571529600
148,"[1563321600, '101.226', '102.954', '96.085', '98.459', '99.623', '188.34915700', 95]",1571529600
149,"[1563336000, '98.459', '100.527', '97.800', '100.527', '99.015', '95.52502555', 46]",1571529600
150,"[1563350400, '100.527', '100.900', '95.908', '96.079', '97.541', '279.72890940', 133]",1571529600
